% Model:              B017metglasflux_noLead.mph
% Version:            COMSOL 5.5.0.306
% Date:               Apr 8 2022, 12:23
% Dimension:          1
% Nodes:              16
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         156.18229271813917
0.025                     156.19899014074463
0.05                      156.22498666496048
0.06929710375286538       156.2692763101654
0.08859420750573073       156.3201631670884
0.10729710375286539       156.38728161724356
0.126                     156.46297883524878
0.14759566245743444       156.5671102659982
0.1691913249148688        156.68714668892662
0.1955762829545071        156.85329722826563
0.22196124099414544       157.02846411504547
0.25592280461521216       157.30314663812268
0.2898843682362788        157.57024135700107
0.32775621012916056       157.91386473940565
0.3656280520220424        158.25399623231547
0.4                       158.58789932364326
