% Model:              B017metglasflux_noLead.mph
% Version:            COMSOL 5.5.0.306
% Date:               Apr 8 2022, 12:23
% Dimension:          1
% Nodes:              13
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         156.18229271813917
0.02462672972672893       156.16085059910728
0.04925345945345786       156.12106957402156
0.07757566916022914       156.02770405690106
0.10589787886700042       155.90458124042436
0.14063098335274346       155.68406537246665
0.17536408783848653       155.4181551429438
0.2125276867876824        155.03519943079056
0.24969128573687827       154.623436425884
0.2883297162026082        154.01522366841036
0.3269681466683382        153.3347168825269
0.3663588989779588        152.5538097712001
0.4                       151.82396060216143
