% Model:              B017metglasflux_noLead.mph
% Version:            COMSOL 5.5.0.306
% Date:               Apr 8 2022, 12:25
% Dimension:          1
% Nodes:              16
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         0.0038505443460606437
0.025                     0
0.05                      0.0027422996509772306
0.06929710375286538       0
0.08859420750573073       0
0.10729710375286539       0
0.126                     0
0.14759566245743444       0
0.1691913249148688        -0.0027793145436146964
0.1955762829545071        0
0.22196124099414544       0
0.25592280461521216       1.5961074166807554E-17
0.2898843682362788        0.005455917884262302
0.32775621012916056       0
0.3656280520220424        0.02268178840096987
0.4                       0
