% Model:              B017metglasflux_noLead.mph
% Version:            COMSOL 5.5.0.306
% Date:               Apr 8 2022, 12:24
% Dimension:          1
% Nodes:              16
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         0.00418935879991523
0.025                     0
0.05                      0
0.06929710375286538       0
0.08859420750573073       3.4275981136555012E-15
0.10729710375286539       0
0.126                     0
0.14759566245743444       0
0.1691913249148688        -6.378534138940436E-4
0.1955762829545071        0
0.22196124099414544       5.676695473687569E-4
0.25592280461521216       0.004341603765589395
0.2898843682362788        0.0012083984727550825
0.32775621012916056       0
0.3656280520220424        0.003687433663700349
0.4                       -0.001549746560413663
