% Model:              B017metglasflux_noLead.mph
% Version:            COMSOL 5.5.0.306
% Date:               Apr 8 2022, 12:26
% Dimension:          1
% Nodes:              13
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         0.0038505443460606437
0.02462672972672893       0
0.04925345945345786       -0.0015054625616033176
0.07757566916022914       0
0.10589787886700042       0.006038671351426151
0.14063098335274346       0
0.17536408783848653       -0.004571165916627965
0.2125276867876824        0
0.24969128573687827       0
0.2883297162026082        8.47091238587893E-4
0.3269681466683382        -0.022891221318932942
0.3663588989779588        0.0014284012323204944
0.4                       -9.829839248349029E-4
