% Model:              B017metglasflux_noLead.mph
% Version:            COMSOL 5.5.0.306
% Date:               Apr 8 2022, 12:24
% Dimension:          1
% Nodes:              16
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         0.00418935879991523
0.025190352110459842      0
0.050380704220919684      0
0.07557105633137963       0
0.10076140844183959       0.004054313015945713
0.1259517605522995        0
0.15114211266275943       0.007253257521238742
0.17601978661376153       0.006968501703849734
0.20089746056476368       0.0060363952703726955
0.2258438251284791        0
0.25079018969219447       0
0.27829704463439814       0
0.3058038995766018        0.025621407221185354
0.33848753461225917       0
0.37117116964791663       0
0.4                       0
